state_code,state,district_number,district_code,dem_candidate,rep_candidate,dem_votes,rep_votes,dem_per,rep_per,winner
ME,Maine,01,ME01,Thomas H. Allen,Darlene J. Curley,170949.0,88009.0,60.83875766494536,31.3213778573386,Democrat
ME,Maine,02,ME02,Michael H. Michaud,Laurence Scott D'Amboise,179772.0,75156.0,70.51873470156279,29.481265298437204,Democrat
MD,Maryland,01,MD01,Jim Corwin,Wayne T. Gilchrest,83738.0,185177.0,31.112366104768025,68.80143564669122,Republican
MD,Maryland,02,MD02,C.A. Dutch Ruppersberger,Jimmy Mathis,135818.0,60195.0,69.21438326844283,30.676050308824426,Democrat
MD,Maryland,03,MD03,John Sarbanes,John D. White,150142.0,79174.0,64.03026193461443,33.76491560263726,Democrat
MD,Maryland,04,MD04,Albert R. Wynn,Michael Moshe Starkman,141897.0,32792.0,80.66775438736121,18.64209251689852,Democrat
MD,Maryland,05,MD05,Steny Hoyer,None,168114.0,0.0,82.68321832748877,0.0,Democrat
MD,Maryland,06,MD06,Andrew J. Duck,Roscoe G. Bartlett,92030.0,141200.0,38.433429524791926,58.96773061936999,Republican
MD,Maryland,07,MD07,Elijah Cummings,None,158830.0,0.0,98.05713156806212,0.0,Democrat
MD,Maryland,08,MD08,Chris Van Hollen,Jeffrey M. Stein,168872.0,48324.0,76.52173913043478,21.897274395631783,Democrat
MA,Massachusetts,01,MA01,John W. Olver,None,158057.0,0.0,71.86630413036757,0.0,Democrat
MA,Massachusetts,10,MA10,William D. Delahunt,Jeffrey K. Beatty,171812.0,78439.0,62.07686443403077,28.34055344993912,Democrat
MA,Massachusetts,02,MA02,Richard E. Neal,None,164939.0,0.0,76.73758601277572,0.0,Democrat
MA,Massachusetts,03,MA03,James P. McGovern,None,166973.0,0.0,77.62539458208005,0.0,Democrat
MA,Massachusetts,04,MA04,Barney Frank,None,176513.0,0.0,77.7885013705633,0.0,Democrat
MA,Massachusetts,05,MA05,Martin T. Meehan,None,159120.0,0.0,73.3840023612751,0.0,Democrat
MA,Massachusetts,06,MA06,John F. Tierney,Richard W. Barton,168056.0,72997.0,66.35081568515973,28.82021762132626,Democrat
MA,Massachusetts,07,MA07,Edward J. Markey,None,171902.0,0.0,76.01910405518949,0.0,Democrat
MA,Massachusetts,08,MA08,Michael Capuano,None,125515.0,0.0,78.72981025560608,0.0,Democrat
MA,Massachusetts,09,MA09,Stephen F. Lynch,Jack E. Robinson,169420.0,47114.0,72.24579433274344,20.09082961983753,Democrat
MI,Michigan,01,MI01,Bart T. Stupak,Don Hooper,180448.0,72753.0,69.4225686442732,27.989781746413417,Democrat
MI,Michigan,10,MI10,Robert H. Denison,Candice S. Miller,84689.0,179072.0,31.317464250187676,66.21970926814116,Republican
MI,Michigan,11,MI11,Tony J. Trupiano,Thaddeus McCotter,114248.0,143658.0,42.98528128104024,54.050657676910575,Republican
MI,Michigan,12,MI12,Sander M. Levin,Randell J. Shafer,168494.0,62689.0,70.78419922785763,26.335600468830737,Democrat
